id	mois	prot	fat	ash	sodium	carb	cal	brand
14069	27.82	21.43	44.87	5.11	1.77	0.77	4.93	a
14053	28.49	21.26	43.89	5.34	1.79	1.02	4.84	a
14025	28.35	19.99	45.78	5.08	1.63	0.8	4.95	a
14016	30.55	20.15	43.13	4.79	1.61	1.38	4.74	a
14005	30.49	21.28	41.65	4.82	1.64	1.76	4.67	a
14075	31.14	20.23	42.31	4.92	1.65	1.4	4.67	a
14082	31.21	20.97	41.34	4.71	1.58	1.77	4.63	a
14097	28.76	21.41	41.6	5.28	1.75	2.95	4.72	a
14117	28.22	20.48	45.1	5.02	1.71	1.18	4.93	a
14133	27.72	21.19	45.29	5.16	1.66	0.64	4.95	a
14101	27.35	21.2	45.59	4.94	1.65	0.92	4.98	a
14108	26.98	21.2	45.03	5.15	1.67	1.64	4.97	a
14164	28.7	20	45.12	4.93	1.56	1.25	4.91	a
14154	30.91	19.65	42.45	4.81	1.65	2.81	4.72	a
24005	30.91	20.77	42.03	4.9	1.61	1.39	4.67	a
24026	30.83	17.88	44.33	5.26	1.76	1.7	4.77	a
24094	32.73	20.06	39.74	5.24	1.69	2.23	4.47	a
24108	34.58	17.53	40.87	5.05	1.61	1.97	4.46	a
24102	31.8	20.35	40.44	5.43	1.61	1.98	4.53	a
24082	31.02	19.05	42.29	5.27	1.71	2.37	4.66	a
34017	27.02	19.56	47.2	4.95	1.65	1.27	5.08	a
34020	27.78	20.01	45.59	4.97	1.7	1.65	4.97	a
24136	30.88	20.58	42.26	4.96	1.63	1.32	4.68	a
24122	32.2	19.25	43.42	4.62	1.5	0.51	4.7	a
24115	33.19	18.05	41.88	5.22	1.7	1.66	4.56	a
34012	30.43	19.78	44.2	4.8	1.61	0.79	4.8	a
34006	28.93	19.99	45.2	4.78	1.62	1.1	4.91	a
24146	30.41	18.71	43.99	4.86	1.62	2.03	4.79	a
24138	29.62	21.1	43.37	5.05	1.69	0.86	4.78	a
14015	49.57	13.7	29.07	3.62	1.1	4.04	3.33	b
14006	52.68	14.38	25.72	3.26	0.93	3.96	3.05	b
14024	48.53	13.14	30.38	3.55	0.99	4.4	3.44	b
14052	50.19	13.78	28.39	3.56	1	4.08	3.27	b
14062	50.67	13.21	27.66	3.64	1	4.82	3.21	b
14047	49.99	13.35	29.2	3.52	1.05	3.94	3.32	b
14074	50.72	12.93	29.88	3.6	1.03	2.87	3.32	b
14083	50.81	12.56	29.95	2.99	0.81	3.69	3.35	b
14094	54.08	13.28	25.25	3.1	0.8	4.29	2.98	b
14124	51.9	14.27	24.92	3.85	1.06	5.06	3.02	b
24019	50.33	13.96	29.25	3.42	0.96	3.04	3.31	b
24012	49.69	13.63	29.59	3.41	0.98	3.68	3.36	b
14132	51.12	14.02	27.37	3.71	1.11	3.78	3.18	b
14146	49.77	13.24	28.91	3.59	1.06	4.49	3.31	b
14149	54.96	14.26	22.99	3.19	0.9	4.6	2.82	b
14161	55.11	14.87	21.9	3.29	0.86	4.83	2.76	b
